dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitcherepp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
3687,2014-01-01 00:00:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,1.717,,,,,,,,,0.000,,,,,,,,0.225,,0.055,,,,0.597,,,,,,,,0.004,,,,,,,,,,,,,,,120.239,119.769
3687,2014-01-01 00:15:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,1.905,,,,,,,,,0.001,,,,,,,,0.224,,0.235,,,,0.563,,,,,,,,0.028,,,,,,,,,,,,,,,120.256,119.628
3687,2014-01-01 00:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,1.923,,,,,,,,,0.000,,,,,,,,0.224,,0.005,,,,0.552,,,,,,,,0.116,,,,,,,,,,,,,,,120.358,119.859
3687,2014-01-01 00:45:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,1.535,,,,,,,,,0.003,,,,,,,,0.224,,0.005,,,,0.277,,,,,,,,0.084,,,,,,,,,,,,,,,120.766,119.985
3687,2014-01-01 01:00:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,1.010,,,,,,,,,0.001,,,,,,,,0.223,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.844,120.368
3687,2014-01-01 01:15:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.957,,,,,,,,,0.000,,,,,,,,0.223,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.802,120.295
3687,2014-01-01 01:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.935,,,,,,,,,0.000,,,,,,,,0.218,,0.005,,,,0.000,,,,,,,,0.005,,,,,,,,,,,,,,,120.355,119.764
3687,2014-01-01 01:45:00-06,0.000,,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,0.008,,,,0.994,,,,,,,,,0.000,,,,,,,,0.199,,0.005,,,,0.000,,,,,,,,0.101,,,,,,,,,,,,,,,120.580,119.832
3687,2014-01-01 02:00:00-06,0.000,,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,0.008,,,,0.987,,,,,,,,,0.000,,,,,,,,0.193,,0.005,,,,0.000,,,,,,,,0.106,,,,,,,,,,,,,,,120.342,119.720
3687,2014-01-01 02:15:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.711,,,,,,,,,0.000,,,,,,,,0.117,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.410,120.026
3687,2014-01-01 02:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.621,,,,,,,,,0.000,,,,,,,,0.088,,0.005,,,,0.000,,,,,,,,0.002,,,,,,,,,,,,,,,120.746,120.078
3687,2014-01-01 02:45:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.527,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.006,,,,,,,,,,,,,,,120.811,120.335
3687,2014-01-01 03:00:00-06,0.000,,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,0.008,,,,0.634,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.107,,,,,,,,,,,,,,,120.808,120.255
3687,2014-01-01 03:15:00-06,0.000,,,,,,,,,,,,,,,,,0.001,,,0.000,0.000,,,,0.008,,,,0.490,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.091,,,,,,,,,,,,,,,120.764,120.304
3687,2014-01-01 03:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.298,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.877,120.427
3687,2014-01-01 03:45:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.298,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.786,120.617
3687,2014-01-01 04:00:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.298,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.864,120.674
3687,2014-01-01 04:15:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.008,,,,0.326,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.033,,,,,,,,,,,,,,,120.630,120.405
3687,2014-01-01 04:30:00-06,0.000,,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,0.008,,,,0.405,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.115,,,,,,,,,,,,,,,120.759,120.539
3687,2014-01-01 04:45:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.050,,,,0.276,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.054,,,,,,,,,,,,,,,120.813,120.500
3687,2014-01-01 05:00:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.279,,,,0.444,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.818,120.232
3687,2014-01-01 05:15:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.008,,,,0.180,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.775,120.389
3687,2014-01-01 05:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.120,,,,0.288,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.727,120.258
3687,2014-01-01 05:45:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.190,,,,0.408,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.055,,,,,,,,,,,,,,,120.752,120.257
3687,2014-01-01 06:00:00-06,0.000,,,,,,,,,,,,,,,,,0.000,,,0.000,0.000,,,,0.008,,,,0.288,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.113,,,,,,,,,,,,,,,120.609,120.285
3687,2014-01-01 06:15:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.265,,,,0.466,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.039,,,,,,,,,,,,,,,120.640,120.020
3687,2014-01-01 06:30:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.048,,,,0.218,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.456,120.046
3687,2014-01-01 06:45:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.120,,,,0.288,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.458,120.028
3687,2014-01-01 07:00:00-06,0.000,,,,,,,,,,,,,,,,,0.003,,,0.000,0.000,,,,0.187,,,,0.353,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.000,,,,,,,,,,,,,,,120.596,119.946
3687,2014-01-01 07:15:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.048,,,,0.279,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.064,,,,,,,,,,,,,,,120.478,120.129
3687,2014-01-01 07:30:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.251,,,,0.524,,,,,,,,,0.000,,,,,,,,0.032,,0.005,,,,0.000,,,,,,,,0.112,,,,,,,,,,,,,,,120.466,119.631
3687,2014-01-01 07:45:00-06,0.000,,,,,,,,,,,,,,,,,0.002,,,0.000,0.000,,,,0.008,,,,0.203,,,,,,,,,0.000,,,,,,,,0.033,,0.005,,,,0.000,,,,,,,,0.025,,,,,,,,,,,,,,,120.285,119.905
